station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio,transaction
25,0,32,50.636399,3.069354,0.0,-10.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,-5.0
25,0,32,50.636399,3.069354,0.0,-10.0
25,0,32,50.636399,3.069354,0.0,-4.0
25,0,32,50.636399,3.069354,0.0,-6.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-7.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,-20.0
25,0,32,50.636399,3.069354,0.0,-2.0
25,0,32,50.636399,3.069354,0.0,-8.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,-18.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-7.0
25,0,32,50.636399,3.069354,0.0,-20.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-8.0
25,0,32,50.636399,3.069354,0.0,-9.0
25,0,32,50.636399,3.069354,0.0,-4.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-9.0
25,0,32,50.636399,3.069354,0.0,-5.0
25,0,32,50.636399,3.069354,0.0,-18.0
25,0,32,50.636399,3.069354,0.0,-16.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-2.0
25,0,32,50.636399,3.069354,0.0,-20.0
25,0,32,50.636399,3.069354,0.0,-1.0
25,0,32,50.636399,3.069354,0.0,-8.0
25,0,32,50.636399,3.069354,0.0,-17.0
25,0,32,50.636399,3.069354,0.0,0.0
25,0,32,50.636399,3.069354,0.0,-3.0
25,0,32,50.636399,3.069354,0.0,-10.0
