id,nom,adresse,commune,type,latitude,longitude,geo
86,ROGER SALENGRO,68 RUE ROGER SALENGRO,LILLE HELLEMMES,AVEC TPE,50.62903,3.10295,"(50.62903, 3.10295)"
91,SQUARE DES MERES,95 RUE DE LANNOY,LILLE,AVEC TPE,50.63417,3.095958,"(50.63417, 3.095958)"
93,STADE BALLET,85 RUE DU LONG POT,LILLE,AVEC TPE,50.628918,3.088147,"(50.628918, 3.088147)"
113,AVENUE DE MORMAL,"16, RUE DU BUISSON",LILLE,AVEC TPE,50.651337,3.08945,"(50.651337, 3.08945)"
122,PISCINE DE MARCQ,298-300 AVENUE DE LATTRE DE TASSIGNY,MARCQ EN BAROEUL,AVEC TPE,50.666033,3.087591,"(50.666033, 3.087591)"
139,RUE DE LILLE,RUE DE LILLE,VILLENEUVE D'ASCQ,AVEC TPE,50.62577,3.144714,"(50.62577, 3.144714)"
149,JEAN JAURES,FACE AU 780 AVENUE JEAN JAURES,RONCHIN,AVEC TPE,50.609592,3.075483,"(50.609592, 3.075483)"
150,RONCHIN MAIRIE,SUR LE PARVIS DE LA MAIRIE,RONCHIN,AVEC TPE,50.60548,3.077622,"(50.60548, 3.077622)"
178,LA FILEUSE,81 RUE DU MARECHAL FOCH,LOOS,AVEC TPE,50.615246,3.018435,"(50.615246, 3.018435)"
186,MARCQ MAIRIE,29-1 Av du Mal de LATTRE de TASSIGNY,MARCQ EN BAROEUL,SANS TPE,50.672415,3.0924237,"(50.672415, 3.0924237)"
188,LOUIS BRAILLE,17 rue Louis Braille,MONS EN BAROEUL,AVEC TPE,50.637103,3.097538,"(50.637103, 3.097538)"
197,NOTEBART,Avenue Arthur Notebart,LILLE,AVEC TPE,50.630834,3.013247,"(50.630834, 3.013247)"
200,MAIRIE DE CROIX,"FACE AU 232, RUE JEAN JAURÈS",CROIX,AVEC TPE,50.679123,3.155906,"(50.679123, 3.155906)"
217,HOPITAL VICTOR PROVO,BOULEVARD DE LYON,ROUBAIX,AVEC TPE,50.67869,3.172558,"(50.67869, 3.172558)"
224,CENTRE NAUTIQUE,"26, RUE DE L'EPEULE",ROUBAIX,AVEC TPE,50.691406,3.162704,"(50.691406, 3.162704)"
225,EPEULE MONTESQUIEU,RUE INKERMAN,ROUBAIX,AVEC TPE,50.683987,3.16327,"(50.683987, 3.16327)"
238,THEATRE TOURCOING,"1, RUE DE L'ALMA",TOURCOING,AVEC TPE,50.72075,3.152659,"(50.72075, 3.152659)"
248,RUE SAINT BLAISE,"85, RUE DE GAND",TOURCOING,AVEC TPE,50.728798,3.158835,"(50.728798, 3.158835)"
257,CHARLES WATTINNE,PONT HYDRAULIQUE,TOURCOING,AVEC TPE,50.71473,3.157369,"(50.71473, 3.157369)"
265,CROIX CENTRE,3 PLACE DE LA REPUBLIQUE,CROIX,AVEC TPE,50.67441,3.14721,"(50.67441, 3.14721)"
308,SADI CARNOT,178-180 rue Sadi Carnot,HAUBOURDIN,AVEC TPE,50.611307,2.994654,"(50.611307, 2.994654)"
106,CONCORDE,27 BOULEVARD ALPHONSE GAYET,MONS EN BAROEUL,AVEC TPE,50.638123,3.112704,"(50.638123, 3.112704)"
112,SQUARE CHARLES DE GAULLE,"4, RUE FERDINAND BUISSON",HELLEMMES,AVEC TPE,50.626846,3.115101,"(50.626846, 3.115101)"
215,TROIS PONTS,"186, AVENUE JULIEN LAGACHE",ROUBAIX,AVEC TPE,50.684593,3.200799,"(50.684593, 3.200799)"
233,RUE DE TOURCOING,RUE DE TOURCOING (SUR LA PARKING GRDF),ROUBAIX,AVEC TPE,50.702026,3.172654,"(50.702026, 3.172654)"
313,PONT DE L'ABBAYE,1 Rue de Lille,MARQUETTE,AVEC TPE,50.666236,3.06415,"(50.666236, 3.06415)"
50,RUE D'ARRAS,4 RUE WAZEMMES,LILLE,AVEC TPE,50.62224,3.067004,"(50.62224, 3.067004)"
22,LOUISE DE BETTIGNIES,PLACE LOUISE DE BETTIGNIES,LILLE,AVEC TPE,50.64144,3.064974,"(50.64144, 3.064974)"
25,GARE LILLE FLANDRES,PLACE DE LA GARE,LILLE,AVEC TPE,50.636399,3.069354,"(50.636399, 3.069354)"
37,FULTON,14 RUE DU BAZINGHIEN,LILLE,AVEC TPE,50.62337,3.037553,"(50.62337, 3.037553)"
40,METRO GAMBETTA,41 RUE DU MARCHE,LILLE,AVEC TPE,50.62614,3.051729,"(50.62614, 3.051729)"
49,PLACE DELIOT,1 PLACE DELIOT,LILLE,AVEC TPE,50.61957,3.068387,"(50.61957, 3.068387)"
63,HOTEL DE REGION,BOULEVARD DU PRESIDENT HOOVER,LILLE,AVEC TPE,50.629738,3.078224,"(50.629738, 3.078224)"
73,ST MAURICE PELLEVOISIN,211 RUE DU FAUBOURG DE ROUBAIX,LILLE,AVEC TPE,50.642315,3.087979,"(50.642315, 3.087979)"
84,MAIRIE D'HELLEMMES,165 RUE ROGER SALENGRO,LILLE HELLEMMES,AVEC TPE,50.627243,3.109266,"(50.627243, 3.109266)"
119,LOMME-LAMBERSART,"390, AVENUE DE DUNKERQUE",LAMBERSART,AVEC TPE,50.640957,3.018803,"(50.640957, 3.018803)"
125,FORT DE MONS,"12, RUE DE NORMANDIE",MONS EN BAROEUL,AVEC TPE,50.643883,3.118579,"(50.643883, 3.118579)"
130,PONT DE BOIS,RUE BAUDOUIN IX - MÉTRO PONT DE BOIS,VILLENEUVE D'ASCQ,AVEC TPE,50.62435,3.1283,"(50.62435, 3.1283)"
154,CHAUFFERIE,FACE AU 125 RUE ROGER SALENGRO,LA MADELEINE,AVEC TPE,50.65532,3.060615,"(50.65532, 3.060615)"
159,EURALILLE,66-188 ALL�E DE LI�GE,LILLE,AVEC TPE,50.637726,3.071892,"(50.637726, 3.071892)"
179,BOURSE DU TRAVAIL,Boulevard de l'usine,LILLE,AVEC TPE,50.626063,3.090931,"(50.626063, 3.090931)"
185,SAINTE HÉLÈNE,52 Rue sainte-héléne,SAINT ANDRE LEZ LILLE,AVEC TPE,50.65722,3.056147,"(50.65722, 3.056147)"
223,PLACE TRICHON,"3, PLACE DU TRICHON",ROUBAIX,AVEC TPE,50.6903353,3.1690075,"(50.6903353, 3.1690075)"
253,AVENUE MILLET,SECTEUR RUE CONDORCET,TOURCOING,SANS TPE,50.72498,3.150884,"(50.72498, 3.150884)"
254,SEBASTOPOL,FACE AU 69 RUE CARNOT,TOURCOING,SANS TPE,50.71732,3.162455,"(50.71732, 3.162455)"
307,4 VENTS,rue chanzy,LEZENNES,AVEC TPE,50.61245,3.12268,"(50.61245, 3.12268)"
231,MOTTE BOSSUT,ROND POINT DE L'EUROPE,ROUBAIX,AVEC TPE,50.689762,3.177179,"(50.689762, 3.177179)"
92,RUE DE LA GAITE,9 RUE MARCEAU,LILLE,AVEC TPE,50.63665,3.091106,"(50.63665, 3.091106)"
274,CALMETTE,Angle du docteur Calmette et de l'avenue Laennec,HEM,AVEC TPE,50.667847,3.192974,"(50.667847, 3.192974)"
275,LAËNNEC,4 square Berthelot,HEM,AVEC TPE,50.665946,3.198101,"(50.665946, 3.198101)"
24,FLANDRES EURALILLE,PLACE DES BUISSES,LILLE,AVEC TPE,50.637078,3.070774,"(50.637078, 3.070774)"
19,RUE ROYALE,40 RUE ROYALE,LILLE,AVEC TPE,50.64031,3.05774,"(50.64031, 3.05774)"
46,ARTOIS,12 RUE D'ARTOIS,LILLE,AVEC TPE,50.62629,3.061198,"(50.62629, 3.061198)"
47,BOULEVARD LOUIS XIV,1 BOULEVARD JEAN BAPTISTE LEBAS,LILLE,AVEC TPE,50.62824,3.069233,"(50.62824, 3.069233)"
53,PORTE DES POSTES,1 PLACE BARTHELEMY DOREZ,LILLE,AVEC TPE,50.61856,3.049251,"(50.61856, 3.049251)"
66,DELESALLE MEDIATHEQUE,35 RUE EDOUARD DELESALLE,LILLE,AVEC TPE,50.63237,3.066273,"(50.63237, 3.066273)"
67,MONTEBELLO,122 BOULEVARD MONTEBELLO,LILLE,AVEC TPE,50.621952,3.04534,"(50.621952, 3.04534)"
68,NATIONALE RUE DU PORT,244 - 254 RUE NATIONALE,LILLE,AVEC TPE,50.630836,3.047778,"(50.630836, 3.047778)"
72,CANTELEU,237 AVENUE DE DUNKERQUE,LILLE,AVEC TPE,50.637302,3.024314,"(50.637302, 3.024314)"
74,FAUBOURG DE ROUBAIX,112 RUE DU FAUBOURG DE ROUBAIX,LILLE,AVEC TPE,50.641238,3.083175,"(50.641238, 3.083175)"
103,LACORDAIRE,44 RUE LACORDAIRE,MONS EN BAROEUL,AVEC TPE,50.639828,3.106677,"(50.639828, 3.106677)"
131,V.ASCQ HOTEL DE VILLE,RUE VERMEER,VILLENEUVE D'ASCQ,AVEC TPE,50.619602,3.13197,"(50.619602, 3.13197)"
135,FLERS MASQUELIER,"97, RUE JULES GUESDE",VILLENEUVE D'ASCQ,AVEC TPE,50.63745,3.123145,"(50.63745, 3.123145)"
148,P.I. DE DOUAI,RUE DU FAUBOURG DE DOUAI SOUS LE PONT,LILLE,AVEC TPE,50.612194,3.074952,"(50.612194, 3.074952)"
183,PLACE DE LA BOUCHERIE,Place de la Boucherie,LA MADELEINE,AVEC TPE,50.658048,3.063774,"(50.658048, 3.063774)"
196,ANATOLE FRANCE,rue Ancienne Balaterie,LOMME,AVEC TPE,50.636003,3.009396,"(50.636003, 3.009396)"
198,LOOS CLEMENCEAU,26 rue Georges Clémenceau,LOOS,AVEC TPE,50.614392,3.010842,"(50.614392, 3.010842)"
199,GEORGES POTIÉ,83 Rue Georges Potie,LOOS,AVEC TPE,50.612921,3.003634,"(50.612921, 3.003634)"
206,ALFRED MONGY,"15, BOULEVARD DU GÉNÉRAL DE GAULLE",ROUBAIX,SANS TPE,50.688015,3.174815,"(50.688015, 3.174815)"
208,DE FOURMIES,"107, BOULEVARD DE FOURMIES",ROUBAIX,AVEC TPE,50.67544,3.181998,"(50.67544, 3.181998)"
209,USINE,AVENUE ALFRED MOTTE,ROUBAIX,AVEC TPE,50.674995,3.195737,"(50.674995, 3.195737)"
210,LINNE,"192, AVENUE DE LINNÉ",ROUBAIX,AVEC TPE,50.676884,3.187817,"(50.676884, 3.187817)"
211,GUSTAVE DELORY,"48, AVENUE GUSTAVE DELORY",ROUBAIX,AVEC TPE,50.674164,3.174519,"(50.674164, 3.174519)"
212,DANIELLE LESAFFRE,"42, RUE DUPUY DE LOMÉ",ROUBAIX,SANS TPE,50.682053,3.182205,"(50.682053, 3.182205)"
214,SAINT JEAN-BAPTISTE,"1, RUE LESUEUR",ROUBAIX,AVEC TPE,50.6795,3.179257,"(50.6795, 3.179257)"
220,MUSEE ART ET INDUSTRIE,"105, AVENUE JEAN-BAPTISTE LEBAS",ROUBAIX,AVEC TPE,50.693768,3.167666,"(50.693768, 3.167666)"
226,CHARLES DE GAULLE,"72, RUE DE LILLE",ROUBAIX,AVEC TPE,50.68645,3.170006,"(50.68645, 3.170006)"
227,BVRD ARMENTIERES,"1, BOULEVARD D'ARMENTIÈRES",ROUBAIX,SANS TPE,50.699436,3.159658,"(50.699436, 3.159658)"
237,RUE DES ANGES,FACE AU 42 RUE DES ANGES,TOURCOING,AVEC TPE,50.719803,3.156338,"(50.719803, 3.156338)"
260,PLACE ROUSSEL,"45, PLACE CHARLES ET ALBERT ROUSSEL",TOURCOING,AVEC TPE,50.721308,3.158104,"(50.721308, 3.158104)"
305,LA MAILLERIE,rue Jean Jaures,VILLENEUVE D'ASCQ,AVEC TPE,50.67057,3.1443,"(50.67057, 3.1443)"
309,HAUBOURDIN MAIRIE,86 rue Sadi Carnot,HAUBOURDIN,AVEC TPE,50.610949,2.983948,"(50.610949, 2.983948)"
310,MARQUETTE MAIRIE,Angle rue des Martyrs de la résistance et la rue de Wam,MARQUETTE,AVEC TPE,50.676607,3.065308,"(50.676607, 3.065308)"
128,RUE LOUISE MICHEL,93 RUE LOUISE MICHEL,VILLENEUVE D'ASCQ,AVEC TPE,50.633842,3.127335,"(50.633842, 3.127335)"
134,RUE DES VICTOIRES,"76, BOULEVARD VAN GOGH",VILLENEUVE D'ASCQ,AVEC TPE,50.6221,3.131706,"(50.6221, 3.131706)"
218,PLACE SPRIET,PLACE CHARLES SPRIET,ROUBAIX,AVEC TPE,50.67392,3.18514,"(50.67392, 3.18514)"
222,LES GOBELINS,"32, RUE DE LA COMMUNAUTÉ URBAINE",ROUBAIX,AVEC TPE,50.6941,3.172165,"(50.6941, 3.172165)"
264,REPUBLIQUE,203 RUE CARNOT,WATTRELOS,AVEC TPE,50.697895,3.206297,"(50.697895, 3.206297)"
59,BELFORT,84 RUE DE TREVISE,LILLE,AVEC TPE,50.622223,3.077127,"(50.622223, 3.077127)"
300,ROUSSEAU,angle Rousseau /Delecaux,LAMBERSART,AVEC TPE,50.64466,3.03027,"(50.64466, 3.03027)"
276,GEORGES HANNART,141 Rue de la Gare,CROIX,AVEC TPE,50.67756,3.14019,"(50.67756, 3.14019)"
8,PLACE RICHEBE,3 PLACE RICHEBE,LILLE,AVEC TPE,50.632366,3.062313,"(50.632366, 3.062313)"
10,RIHOUR,ANGLE PLACE RIHOUR,LILLE,AVEC TPE,50.63589,3.062471,"(50.63589, 3.062471)"
64,MAIRIE DE LILLE,17 RUE SAINT SAUVEUR,LILLE,AVEC TPE,50.6318,3.071392,"(50.6318, 3.071392)"
21,PLACE DU CONCERT,RUE ALPHONSE COLAS,LILLE,AVEC TPE,50.64193,3.061774,"(50.64193, 3.061774)"
28,PALAIS RAMEAU,17 RUE SOLFERINO,LILLE,AVEC TPE,50.634686,3.048344,"(50.634686, 3.048344)"
62,ZENITH,BOULEVARD EMILE DUBUISSON,LILLE,AVEC TPE,50.632965,3.076437,"(50.632965, 3.076437)"
77,MONT DE TERRE,7 RUE MATTEOTI,LILLE,AVEC TPE,50.62286,3.0914,"(50.62286, 3.0914)"
94,MARX DORMOY,RUE DE BORDEAUX,LILLE,AVEC TPE,50.63579,3.033977,"(50.63579, 3.033977)"
108,GENERAL DE GAULLE,108 RUE DU GENERAL DE GAULLE,MONS EN BAROEUL,AVEC TPE,50.645267,3.100516,"(50.645267, 3.100516)"
114,BOIS HABITE,BOULEVARD DU PRÉSIDENT HOOVER,LILLE,AVEC TPE,50.62651,3.079211,"(50.62651, 3.079211)"
120,LOMME MAIRIE,HÔTEL DE VILLE,LOMME,AVEC TPE,50.63899,3.01154,"(50.63899, 3.01154)"
121,PONT SUPERIEUR,ANGLE DE LA RUE AUGUSTE BONTE,LOMME,AVEC TPE,50.644855,3.013238,"(50.644855, 3.013238)"
146,SOLFERINO NATIONALE,FACE 171 RUE NATIONALE,LILLE,AVEC TPE,50.63268,3.052483,"(50.63268, 3.052483)"
161,CHAUDE RIVIÈRE,Rue Chaude Rivière,LILLE,AVEC TPE,50.634417,3.0822274,"(50.634417, 3.0822274)"
164,HOPITAL MILITAIRE,2 RUE PIERRE DUPONT,LILLE,AVEC TPE,50.63393,3.061687,"(50.63393, 3.061687)"
175,RECHERCHE,977 RUE EUGENE AVINEE,LOOS,AVEC TPE,50.60301,3.038779,"(50.60301, 3.038779)"
176,FACULTÉ DE MÉDECINE,Avenue Eugène Avinée,LOOS,AVEC TPE,50.604525,3.031224,"(50.604525, 3.031224)"
190,QUAI 22,149 rue Sadi Carnot,SAINT ANDRE LEZ LILLE,AVEC TPE,50.662941,3.057167,"(50.662941, 3.057167)"
192,LE STADIUM,AVENUE DE LA CHATELLENIE,VILLENEUVE D'ASCQ,SANS TPE,50.6312847,3.1350379,"(50.6312847, 3.1350379)"
221,ROUBAIX MAIRIE,"FACE AU 1, CONTOUR  SAINT MARTIN",ROUBAIX,AVEC TPE,50.69184,3.173925,"(50.69184, 3.173925)"
230,DE LA VIGNE,"181, BOULEVARD DE STRASBOURG",ROUBAIX,AVEC TPE,50.70076,3.18407,"(50.70076, 3.18407)"
256,PONT DE NEUVILLE,"301, RUE DU PONT DE NEUVILLE",TOURCOING,AVEC TPE,50.73682,3.1712308,"(50.73682, 3.1712308)"
129,FLERS CHATEAU,RUE DE LA CHEVALERIE,VILLENEUVE D'ASCQ,AVEC TPE,50.63608,3.130853,"(50.63608, 3.130853)"
143,ROND POINT DE TOURNAI,"55, RUE DES FUSILLÉS",VILLENEUVE D'ASCQ,AVEC TPE,50.61776,3.146026,"(50.61776, 3.146026)"
228,PELLART,"15, RUE PELLART",ROUBAIX,AVEC TPE,50.69535,3.180779,"(50.69535, 3.180779)"
263,STALINGRAD,38-4 RUE DE STALINGRAD,WATTRELOS,AVEC TPE,50.69626,3.209156,"(50.69626, 3.209156)"
89,BOULEVARD DE METZ,40 BOULEVARD DE METZ,LILLE,AVEC TPE,50.619312,3.041299,"(50.619312, 3.041299)"
299,TEST CYKLEO LILLE,4 rue du Professeur Langevin,LILLE,SANS TPE,50.6151322,3.0863797,"(50.6151322, 3.0863797)"
312,SAINT ROCH,Rue Saint Roch,MARQUETTE,AVEC TPE,50.672499,3.069317,"(50.672499, 3.069317)"
12,OPERA,FACE AU 8 RUE ANATOLE FRANCE,LILLE,AVEC TPE,50.637486,3.065902,"(50.637486, 3.065902)"
36,CORMONTAIGNE,16 - 36 PLACE CORMONTAIGNE,LILLE,AVEC TPE,50.62624,3.039911,"(50.62624, 3.039911)"
43,THEATRE SEBASTOPOL,3 PLACE SEBASTOPOL,LILLE,AVEC TPE,50.629044,3.058288,"(50.629044, 3.058288)"
3,JARDIN VAUBAN,39 BOULEVARD VAUBAN,LILLE,AVEC TPE,50.636093,3.050447,"(50.636093, 3.050447)"
20,N.D. DE LA TREILLE,PLACE GILLSON,LILLE,AVEC TPE,50.640385,3.062053,"(50.640385, 3.062053)"
29,ST SEBASTIEN,40 RUE SAINT SEBASTIEN,LILLE,AVEC TPE,50.647236,3.059376,"(50.647236, 3.059376)"
31,PONT NEUF,38 BIS RUE DU PONT NEUF,LILLE,AVEC TPE,50.644264,3.062935,"(50.644264, 3.062935)"
48,PORTE DE DOUAI,PLACE FERNIG,LILLE,AVEC TPE,50.61843,3.07241,"(50.61843, 3.07241)"
58,PORTE DE VALENCIENNES,BOULEVARD DE BELFORT,LILLE,AVEC TPE,50.62073,3.07895,"(50.62073, 3.07895)"
61,LILLE GRAND PALAIS,30 BOULEVARD DU MARECHAL VAILLANT,LILLE,AVEC TPE,50.629246,3.075218,"(50.629246, 3.075218)"
75,EUGENE JACQUET,59 RUE EUGENE JACQUET,LILLE,AVEC TPE,50.637337,3.084894,"(50.637337, 3.084894)"
88,RUE NATIONALE,91 RUE NATIONALE,LILLE,AVEC TPE,50.635082,3.058015,"(50.635082, 3.058015)"
99,LA MADELEINE MAIRIE,RUE DU GENERAL DE GAULLE,LA MADELEINE,AVEC TPE,50.654602,3.073805,"(50.654602, 3.073805)"
101,MONS SARTS,AVENUE DES ACACIAS,MONS EN BAROEUL,AVEC TPE,50.6423,3.099291,"(50.6423, 3.099291)"
115,DE GAULLE,"85, RUE DU GÉNÉRAL DE GAULLE",LA MADELEINE,AVEC TPE,50.651497,3.072316,"(50.651497, 3.072316)"
117,HIPPODROME,"9, AVENUE HENRI GRUSON",LAMBERSART,AVEC TPE,50.641617,3.031375,"(50.641617, 3.031375)"
123,RUE DE L'EGLISE,"71, RUE NATIONALE",MARCQ EN BAROEUL,AVEC TPE,50.665348,3.075792,"(50.665348, 3.075792)"
162,ANGELLIER,3 RUE AUGUSTE ANGELLIER,LILLE,AVEC TPE,50.628544,3.065015,"(50.628544, 3.065015)"
163,JEANNE D'ARC,31b Rue Jeanne d’Arc (Lille),LILLE,AVEC TPE,50.625597,3.064497,"(50.625597, 3.064497)"
169,JEMMAPES,59 RUE JEMMAPES,LILLE,AVEC TPE,50.644685,3.057953,"(50.644685, 3.057953)"
170,GANTOIS,104-122 Bld VICTOR HUGO,LILLE,AVEC TPE,50.62195,3.06038,"(50.62195, 3.06038)"
180,SQUARE JEAN MONNET,19 ALLEE DU Dr HAVET,LAMBERSART,AVEC TPE,50.652107,3.029324,"(50.652107, 3.029324)"
213,LANNOY,"93, RUE DE LANNOY",ROUBAIX,SANS TPE,50.68859,3.182028,"(50.68859, 3.182028)"
