time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
2050,29,28,0,50.647236,3.059376,1.0
2050,33,23,2,50.63022,3.035681,0.92
2050,153,22,2,50.65547,3.064989,0.9166666666666666
2050,221,26,3,50.69184,3.173925,0.896551724137931
2050,36,31,4,50.62624,3.039911,0.8857142857142857
2050,43,26,6,50.629044,3.058288,0.8125
2050,5,22,18,50.63156,3.054738,0.55
2050,10,0,31,50.63589,3.062471,0.0
2050,24,0,40,50.637078,3.070774,0.0
2050,25,0,32,50.636399,3.069354,0.0
2050,27,0,36,50.635014,3.064802,0.0
2050,28,0,39,50.634686,3.048344,0.0
2050,48,0,26,50.61843,3.07241,0.0
2050,62,0,30,50.632965,3.076437,0.0
2050,82,0,32,50.63999,3.075204,0.0
2050,159,0,40,50.637726,3.071892,0.0
2050,201,0,30,50.673943,3.163443,0.0
2050,1,0,0,50.641926,3.075992,
2050,264,0,0,50.697895,3.206297,
2050,87,0,0,50.632393,3.110669,
2050,89,0,0,50.619312,3.041299,
2050,92,0,0,50.63665,3.091106,
2050,105,0,0,50.638126,3.10231,
2050,106,0,0,50.638123,3.112704,
2050,109,0,0,50.623466,3.030667,
2050,112,0,0,50.626846,3.115101,
2050,118,0,0,50.641834,3.022364,
2050,127,0,0,50.63708,3.127964,
2050,129,0,0,50.63608,3.130853,
2050,134,0,0,50.6221,3.131706,
2050,136,0,0,50.62972,3.133873,
2050,215,0,0,50.684593,3.200799,
2050,235,0,0,50.696327,3.16713,
2050,262,0,1,50.701187,3.215011,0.0
2050,263,0,1,50.69626,3.209156,0.0
2050,299,0,1,50.6151322,3.0863797,0.0
2050,59,0,1,50.622223,3.077127,0.0
2050,128,0,1,50.633842,3.127335,0.0
2050,143,0,1,50.61776,3.146026,0.0
2050,145,0,1,50.61992,3.14528,0.0
2050,126,0,3,50.64057,3.115571,0.0
2050,228,0,7,50.69535,3.180779,0.0
2050,231,0,10,50.689762,3.177179,0.0
2050,258,0,12,50.710735,3.159881,0.0
2050,222,0,12,50.6941,3.172165,0.0
2050,261,0,13,50.732277,3.157656,0.0
2050,140,0,14,50.623795,3.144815,0.0
2050,176,0,16,50.604525,3.031224,0.0
2050,233,0,16,50.702026,3.172654,0.0
2050,23,0,18,50.639107,3.065548,0.0
2050,203,0,20,50.68079,3.167454,0.0
2050,49,0,24,50.61957,3.068387,0.0
2050,218,0,24,50.67392,3.18514,0.0
2050,162,0,25,50.628544,3.065015,0.0
2050,88,1,29,50.635082,3.058015,0.03333333333333333
