time_index,station_id,nb_velos_dispo,latitude,longitude
57,156,24,50.661602,3.050322
57,94,23,50.63579,3.033977
57,83,22,50.63378,3.02059
57,84,22,50.627243,3.109266
57,221,27,50.69184,3.173925
57,33,22,50.63022,3.035681
57,36,26,50.62624,3.039911
57,5,0,50.63156,3.054738
57,10,0,50.63589,3.062471
57,11,0,50.63734,3.060977
57,20,0,50.640385,3.062053
57,24,0,50.637078,3.070774
57,25,0,50.636399,3.069354
57,40,0,50.62614,3.051729
57,82,0,50.63999,3.075204
57,88,0,50.635082,3.058015
57,159,0,50.637726,3.071892
57,1,0,50.641926,3.075992
57,264,0,50.697895,3.206297
57,299,0,50.6151322,3.0863797
57,87,0,50.632393,3.110669
57,89,0,50.619312,3.041299
57,92,0,50.63665,3.091106
57,105,0,50.638126,3.10231
57,106,0,50.638123,3.112704
57,109,0,50.623466,3.030667
57,112,0,50.626846,3.115101
57,118,0,50.641834,3.022364
57,127,0,50.63708,3.127964
57,129,0,50.63608,3.130853
57,134,0,50.6221,3.131706
57,136,0,50.62972,3.133873
57,215,0,50.684593,3.200799
57,235,0,50.696327,3.16713
57,262,0,50.701187,3.215011
57,263,0,50.69626,3.209156
57,59,0,50.622223,3.077127
57,128,0,50.633842,3.127335
57,143,0,50.61776,3.146026
57,145,0,50.61992,3.14528
57,126,0,50.64057,3.115571
57,228,0,50.69535,3.180779
57,231,0,50.689762,3.177179
57,258,0,50.710735,3.159881
57,222,0,50.6941,3.172165
57,261,0,50.732277,3.157656
57,140,0,50.623795,3.144815
57,165,0,50.632367,3.05816
57,7,0,50.633728,3.055307
57,164,0,50.63393,3.061687
57,176,0,50.604525,3.031224
57,233,0,50.702026,3.172654
57,66,0,50.63237,3.066273
57,251,0,50.72551,3.156554
57,269,0,50.676944,3.167306
57,305,0,50.67057,3.1443
57,160,0,50.637709,3.077478
57,195,0,50.631135,3.008346
57,200,0,50.679123,3.155906
57,218,0,50.67392,3.18514
57,22,1,50.64144,3.064974
57,27,1,50.635014,3.064802
57,237,1,50.719803,3.156338
57,240,1,50.71922,3.163396
57,225,1,50.683987,3.16327
57,30,1,50.64297,3.067375
57,26,1,50.63457,3.068007
57,270,1,50.664211,3.130098
57,203,1,50.68079,3.167454
57,39,1,50.627674,3.050173
57,15,1,50.6449,3.050645
57,61,1,50.629246,3.075218
57,12,1,50.637486,3.065902
57,8,2,50.632366,3.062313
57,14,2,50.6379088,3.0508558
57,208,2,50.67544,3.181998
57,214,2,50.6795,3.179257
57,32,2,50.64142,3.067873
57,70,2,50.63424,3.073991
57,102,2,50.64218,3.109699
57,226,2,50.68645,3.170006
57,238,2,50.72075,3.152659
57,17,2,50.644695,3.060867
57,4,2,50.624695,3.048961
57,302,2,50.60301,3.06925
57,58,2,50.62073,3.07895
57,73,2,50.642315,3.087979
57,6,2,50.630943,3.060299
57,100,2,50.651638,3.081625
57,150,2,50.60548,3.077622
57,2,3,50.632233,3.046134
57,210,3,50.676884,3.187817
57,151,3,50.60642,3.072209
57,190,3,50.662941,3.057167
57,256,3,50.73682,3.1712308
57,152,3,50.610582,3.065103
57,149,3,50.609592,3.075483
57,78,3,50.615536,3.048518
57,260,3,50.721308,3.158104
57,31,3,50.644264,3.062935
57,303,3,50.60709,3.06558
57,313,3,50.666236,3.06415
