time_index,station_id,nb_velos_dispo,latitude,longitude
2136,36,34,50.62624,3.039911
2136,19,22,50.64031,3.05774
2136,33,23,50.63022,3.035681
2136,221,26,50.69184,3.173925
2136,29,24,50.647236,3.059376
2136,43,25,50.629044,3.058288
2136,10,0,50.63589,3.062471
2136,24,0,50.637078,3.070774
2136,25,0,50.636399,3.069354
2136,27,0,50.635014,3.064802
2136,62,0,50.632965,3.076437
2136,82,0,50.63999,3.075204
2136,88,0,50.635082,3.058015
2136,159,0,50.637726,3.071892
2136,201,0,50.673943,3.163443
2136,1,0,50.641926,3.075992
2136,264,0,50.697895,3.206297
2136,87,0,50.632393,3.110669
2136,89,0,50.619312,3.041299
2136,92,0,50.63665,3.091106
2136,105,0,50.638126,3.10231
2136,106,0,50.638123,3.112704
2136,109,0,50.623466,3.030667
2136,112,0,50.626846,3.115101
2136,118,0,50.641834,3.022364
2136,127,0,50.63708,3.127964
2136,129,0,50.63608,3.130853
2136,134,0,50.6221,3.131706
2136,136,0,50.62972,3.133873
2136,215,0,50.684593,3.200799
2136,235,0,50.696327,3.16713
2136,262,0,50.701187,3.215011
2136,263,0,50.69626,3.209156
2136,299,0,50.6151322,3.0863797
2136,59,0,50.622223,3.077127
2136,128,0,50.633842,3.127335
2136,143,0,50.61776,3.146026
2136,145,0,50.61992,3.14528
2136,126,0,50.64057,3.115571
2136,228,0,50.69535,3.180779
2136,231,0,50.689762,3.177179
2136,258,0,50.710735,3.159881
2136,222,0,50.6941,3.172165
2136,261,0,50.732277,3.157656
2136,140,0,50.623795,3.144815
2136,32,0,50.64142,3.067873
2136,176,0,50.604525,3.031224
2136,233,0,50.702026,3.172654
2136,23,0,50.639107,3.065548
2136,64,0,50.6318,3.071392
2136,58,0,50.62073,3.07895
2136,160,0,50.637709,3.077478
2136,203,0,50.68079,3.167454
2136,61,0,50.629246,3.075218
2136,218,0,50.67392,3.18514
2136,12,0,50.637486,3.065902
2136,2,1,50.632233,3.046134
2136,8,1,50.632366,3.062313
2136,28,1,50.634686,3.048344
2136,86,1,50.62903,3.10295
2136,237,1,50.719803,3.156338
2136,240,1,50.71922,3.163396
2136,161,1,50.634417,3.0822274
2136,70,1,50.63424,3.073991
2136,147,1,50.614052,3.062195
2136,226,1,50.68645,3.170006
2136,66,1,50.63237,3.066273
2136,54,1,50.62338,3.051565
2136,269,1,50.676944,3.167306
2136,305,1,50.67057,3.1443
2136,173,1,50.61352,3.03677
2136,26,1,50.63457,3.068007
2136,202,1,50.677914,3.162353
2136,162,1,50.628544,3.065015
2136,48,1,50.61843,3.07241
2136,85,2,50.62504,3.1008
2136,220,2,50.693768,3.167666
2136,256,2,50.73682,3.1712308
2136,7,2,50.633728,3.055307
2136,171,2,50.62479,3.080467
2136,3,2,50.636093,3.050447
2136,78,2,50.615536,3.048518
2136,146,2,50.63268,3.052483
2136,4,2,50.624695,3.048961
2136,79,2,50.61295,3.047268
2136,68,2,50.630836,3.047778
2136,49,2,50.61957,3.068387
