time_index,station_id,nb_velos_dispo,latitude,longitude
602,84,22,50.627243,3.109266
602,221,27,50.69184,3.173925
602,36,26,50.62624,3.039911
602,11,0,50.63734,3.060977
602,40,0,50.62614,3.051729
602,1,0,50.641926,3.075992
602,264,0,50.697895,3.206297
602,87,0,50.632393,3.110669
602,89,0,50.619312,3.041299
602,92,0,50.63665,3.091106
602,105,0,50.638126,3.10231
602,106,0,50.638123,3.112704
602,109,0,50.623466,3.030667
602,112,0,50.626846,3.115101
602,118,0,50.641834,3.022364
602,127,0,50.63708,3.127964
602,129,0,50.63608,3.130853
602,134,0,50.6221,3.131706
602,136,0,50.62972,3.133873
602,215,0,50.684593,3.200799
602,235,0,50.696327,3.16713
602,262,0,50.701187,3.215011
602,263,0,50.69626,3.209156
602,299,0,50.6151322,3.0863797
602,59,0,50.622223,3.077127
602,128,0,50.633842,3.127335
602,143,0,50.61776,3.146026
602,145,0,50.61992,3.14528
602,126,0,50.64057,3.115571
602,228,0,50.69535,3.180779
602,231,0,50.689762,3.177179
602,258,0,50.710735,3.159881
602,222,0,50.6941,3.172165
602,261,0,50.732277,3.157656
602,140,0,50.623795,3.144815
602,16,0,50.646225,3.053499
602,233,0,50.702026,3.172654
602,251,0,50.72551,3.156554
602,269,0,50.676944,3.167306
602,39,0,50.627674,3.050173
602,200,0,50.679123,3.155906
602,218,0,50.67392,3.18514
602,8,1,50.632366,3.062313
602,22,1,50.64144,3.064974
602,27,1,50.635014,3.064802
602,237,1,50.719803,3.156338
602,240,1,50.71922,3.163396
602,165,1,50.632367,3.05816
602,32,1,50.64142,3.067873
602,164,1,50.63393,3.061687
602,225,1,50.683987,3.16327
602,30,1,50.64297,3.067375
602,270,1,50.664211,3.130098
602,26,1,50.63457,3.068007
602,305,1,50.67057,3.1443
602,203,1,50.68079,3.167454
602,15,1,50.6449,3.050645
602,61,1,50.629246,3.075218
602,100,1,50.651638,3.081625
602,12,1,50.637486,3.065902
602,5,2,50.63156,3.054738
602,10,2,50.63589,3.062471
602,20,2,50.640385,3.062053
602,88,2,50.635082,3.058015
602,208,2,50.67544,3.181998
602,214,2,50.6795,3.179257
602,70,2,50.63424,3.073991
602,226,2,50.68645,3.170006
602,149,2,50.609592,3.075483
602,238,2,50.72075,3.152659
602,17,2,50.644695,3.060867
602,31,2,50.644264,3.062935
602,302,2,50.60301,3.06925
602,303,2,50.60709,3.06558
602,58,2,50.62073,3.07895
602,64,2,50.6318,3.071392
602,160,2,50.637709,3.077478
602,80,3,50.61989,3.084357
602,169,3,50.644685,3.057953
602,210,3,50.676884,3.187817
602,151,3,50.60642,3.072209
602,256,3,50.73682,3.1712308
602,102,3,50.64218,3.109699
602,152,3,50.610582,3.065103
602,42,3,50.62789,3.06209
602,78,3,50.615536,3.048518
602,4,3,50.624695,3.048961
602,260,3,50.721308,3.158104
602,313,3,50.666236,3.06415
602,197,3,50.630834,3.013247
602,150,3,50.60548,3.077622
602,47,3,50.62824,3.069233
602,162,3,50.628544,3.065015
602,29,3,50.647236,3.059376
602,14,4,50.6379088,3.0508558
602,63,4,50.629738,3.078224
602,159,4,50.637726,3.071892
602,177,4,50.616763,3.023032
602,220,4,50.693768,3.167666
602,257,4,50.71473,3.157369
602,116,4,50.64891,3.078336
602,114,4,50.62651,3.079211
602,191,4,50.638838,3.1317727
602,23,4,50.639107,3.065548
602,44,4,50.629063,3.053711
602,212,4,50.682053,3.182205
602,21,4,50.64193,3.061774
602,79,4,50.61295,3.047268
602,90,4,50.64569,3.0858226
602,6,4,50.630943,3.060299
602,141,4,50.61682,3.140808
602,202,4,50.677914,3.162353
602,9,5,50.63393,3.044986
