time_index,station_id,nb_velos_dispo,latitude,longitude
153,156,24,50.661602,3.050322
153,94,23,50.63579,3.033977
153,83,22,50.63378,3.02059
153,84,22,50.627243,3.109266
153,221,27,50.69184,3.173925
153,33,22,50.63022,3.035681
153,36,26,50.62624,3.039911
153,10,0,50.63589,3.062471
153,11,0,50.63734,3.060977
153,20,0,50.640385,3.062053
153,24,0,50.637078,3.070774
153,25,0,50.636399,3.069354
153,40,0,50.62614,3.051729
153,82,0,50.63999,3.075204
153,88,0,50.635082,3.058015
153,159,0,50.637726,3.071892
153,1,0,50.641926,3.075992
153,264,0,50.697895,3.206297
153,299,0,50.6151322,3.0863797
153,87,0,50.632393,3.110669
153,89,0,50.619312,3.041299
153,92,0,50.63665,3.091106
153,105,0,50.638126,3.10231
153,106,0,50.638123,3.112704
153,109,0,50.623466,3.030667
153,112,0,50.626846,3.115101
153,118,0,50.641834,3.022364
153,127,0,50.63708,3.127964
153,129,0,50.63608,3.130853
153,134,0,50.6221,3.131706
153,136,0,50.62972,3.133873
153,215,0,50.684593,3.200799
153,235,0,50.696327,3.16713
153,262,0,50.701187,3.215011
153,263,0,50.69626,3.209156
153,59,0,50.622223,3.077127
153,128,0,50.633842,3.127335
153,143,0,50.61776,3.146026
153,145,0,50.61992,3.14528
153,126,0,50.64057,3.115571
153,228,0,50.69535,3.180779
153,231,0,50.689762,3.177179
153,258,0,50.710735,3.159881
153,222,0,50.6941,3.172165
153,261,0,50.732277,3.157656
153,140,0,50.623795,3.144815
153,7,0,50.633728,3.055307
153,164,0,50.63393,3.061687
153,176,0,50.604525,3.031224
153,233,0,50.702026,3.172654
153,66,0,50.63237,3.066273
153,251,0,50.72551,3.156554
153,26,0,50.63457,3.068007
153,269,0,50.676944,3.167306
153,305,0,50.67057,3.1443
153,195,0,50.631135,3.008346
153,200,0,50.679123,3.155906
153,218,0,50.67392,3.18514
153,5,1,50.63156,3.054738
153,27,1,50.635014,3.064802
153,237,1,50.719803,3.156338
153,240,1,50.71922,3.163396
153,165,1,50.632367,3.05816
153,225,1,50.683987,3.16327
153,30,1,50.64297,3.067375
153,270,1,50.664211,3.130098
153,160,1,50.637709,3.077478
153,203,1,50.68079,3.167454
153,39,1,50.627674,3.050173
153,15,1,50.6449,3.050645
153,61,1,50.629246,3.075218
153,12,1,50.637486,3.065902
153,8,2,50.632366,3.062313
153,14,2,50.6379088,3.0508558
153,22,2,50.64144,3.064974
153,208,2,50.67544,3.181998
153,214,2,50.6795,3.179257
153,32,2,50.64142,3.067873
153,70,2,50.63424,3.073991
153,102,2,50.64218,3.109699
153,226,2,50.68645,3.170006
153,238,2,50.72075,3.152659
153,17,2,50.644695,3.060867
153,31,2,50.644264,3.062935
153,302,2,50.60301,3.06925
153,58,2,50.62073,3.07895
153,73,2,50.642315,3.087979
153,6,2,50.630943,3.060299
153,100,2,50.651638,3.081625
153,150,2,50.60548,3.077622
153,2,3,50.632233,3.046134
153,43,3,50.629044,3.058288
153,210,3,50.676884,3.187817
153,151,3,50.60642,3.072209
153,190,3,50.662941,3.057167
153,256,3,50.73682,3.1712308
153,152,3,50.610582,3.065103
153,149,3,50.609592,3.075483
153,44,3,50.629063,3.053711
153,78,3,50.615536,3.048518
153,4,3,50.624695,3.048961
