time_index,station_id,nb_velos_dispo,latitude,longitude
19,156,24,50.661602,3.050322
19,94,23,50.63579,3.033977
19,83,22,50.63378,3.02059
19,84,22,50.627243,3.109266
19,221,27,50.69184,3.173925
19,33,22,50.63022,3.035681
19,36,26,50.62624,3.039911
19,5,0,50.63156,3.054738
19,10,0,50.63589,3.062471
19,11,0,50.63734,3.060977
19,20,0,50.640385,3.062053
19,24,0,50.637078,3.070774
19,25,0,50.636399,3.069354
19,82,0,50.63999,3.075204
19,88,0,50.635082,3.058015
19,159,0,50.637726,3.071892
19,1,0,50.641926,3.075992
19,264,0,50.697895,3.206297
19,299,0,50.6151322,3.0863797
19,87,0,50.632393,3.110669
19,89,0,50.619312,3.041299
19,92,0,50.63665,3.091106
19,105,0,50.638126,3.10231
19,106,0,50.638123,3.112704
19,109,0,50.623466,3.030667
19,112,0,50.626846,3.115101
19,118,0,50.641834,3.022364
19,127,0,50.63708,3.127964
19,129,0,50.63608,3.130853
19,134,0,50.6221,3.131706
19,136,0,50.62972,3.133873
19,215,0,50.684593,3.200799
19,235,0,50.696327,3.16713
19,262,0,50.701187,3.215011
19,263,0,50.69626,3.209156
19,59,0,50.622223,3.077127
19,128,0,50.633842,3.127335
19,143,0,50.61776,3.146026
19,145,0,50.61992,3.14528
19,126,0,50.64057,3.115571
19,228,0,50.69535,3.180779
19,231,0,50.689762,3.177179
19,258,0,50.710735,3.159881
19,222,0,50.6941,3.172165
19,261,0,50.732277,3.157656
19,140,0,50.623795,3.144815
19,165,0,50.632367,3.05816
19,7,0,50.633728,3.055307
19,164,0,50.63393,3.061687
19,176,0,50.604525,3.031224
19,233,0,50.702026,3.172654
19,66,0,50.63237,3.066273
19,251,0,50.72551,3.156554
19,269,0,50.676944,3.167306
19,305,0,50.67057,3.1443
19,160,0,50.637709,3.077478
19,195,0,50.631135,3.008346
19,200,0,50.679123,3.155906
19,218,0,50.67392,3.18514
19,12,0,50.637486,3.065902
19,22,1,50.64144,3.064974
19,27,1,50.635014,3.064802
19,40,1,50.62614,3.051729
19,237,1,50.719803,3.156338
19,240,1,50.71922,3.163396
19,102,1,50.64218,3.109699
19,225,1,50.683987,3.16327
19,30,1,50.64297,3.067375
19,17,1,50.644695,3.060867
19,26,1,50.63457,3.068007
19,270,1,50.664211,3.130098
19,203,1,50.68079,3.167454
19,39,1,50.627674,3.050173
19,73,1,50.642315,3.087979
19,15,1,50.6449,3.050645
19,61,1,50.629246,3.075218
19,8,2,50.632366,3.062313
19,14,2,50.6379088,3.0508558
19,208,2,50.67544,3.181998
19,214,2,50.6795,3.179257
19,32,2,50.64142,3.067873
19,70,2,50.63424,3.073991
19,226,2,50.68645,3.170006
19,238,2,50.72075,3.152659
19,4,2,50.624695,3.048961
19,302,2,50.60301,3.06925
19,58,2,50.62073,3.07895
19,6,2,50.630943,3.060299
19,100,2,50.651638,3.081625
19,150,2,50.60548,3.077622
19,2,3,50.632233,3.046134
19,210,3,50.676884,3.187817
