time_index,station_id,nb_velos_dispo,latitude,longitude
1948,29,28,50.647236,3.059376
1948,33,25,50.63022,3.035681
1948,221,26,50.69184,3.173925
1948,36,30,50.62624,3.039911
1948,43,24,50.629044,3.058288
1948,2,0,50.632233,3.046134
1948,9,0,50.63393,3.044986
1948,10,0,50.63589,3.062471
1948,25,0,50.636399,3.069354
1948,27,0,50.635014,3.064802
1948,62,0,50.632965,3.076437
1948,82,0,50.63999,3.075204
1948,159,0,50.637726,3.071892
1948,201,0,50.673943,3.163443
1948,1,0,50.641926,3.075992
1948,264,0,50.697895,3.206297
1948,87,0,50.632393,3.110669
1948,89,0,50.619312,3.041299
1948,92,0,50.63665,3.091106
1948,105,0,50.638126,3.10231
1948,106,0,50.638123,3.112704
1948,109,0,50.623466,3.030667
1948,112,0,50.626846,3.115101
1948,118,0,50.641834,3.022364
1948,127,0,50.63708,3.127964
1948,129,0,50.63608,3.130853
1948,134,0,50.6221,3.131706
1948,136,0,50.62972,3.133873
1948,215,0,50.684593,3.200799
1948,235,0,50.696327,3.16713
1948,262,0,50.701187,3.215011
1948,263,0,50.69626,3.209156
1948,299,0,50.6151322,3.0863797
1948,59,0,50.622223,3.077127
1948,128,0,50.633842,3.127335
1948,143,0,50.61776,3.146026
1948,145,0,50.61992,3.14528
1948,126,0,50.64057,3.115571
1948,228,0,50.69535,3.180779
1948,231,0,50.689762,3.177179
1948,258,0,50.710735,3.159881
1948,222,0,50.6941,3.172165
1948,261,0,50.732277,3.157656
1948,140,0,50.623795,3.144815
1948,166,0,50.63084,3.04483
1948,176,0,50.604525,3.031224
1948,233,0,50.702026,3.172654
1948,23,0,50.639107,3.065548
1948,66,0,50.63237,3.066273
1948,269,0,50.676944,3.167306
1948,203,0,50.68079,3.167454
1948,26,0,50.63457,3.068007
1948,49,0,50.61957,3.068387
1948,218,0,50.67392,3.18514
1948,162,0,50.628544,3.065015
1948,14,1,50.6379088,3.0508558
1948,24,1,50.637078,3.070774
1948,40,1,50.62614,3.051729
1948,88,1,50.635082,3.058015
1948,86,1,50.62903,3.10295
1948,237,1,50.719803,3.156338
1948,240,1,50.71922,3.163396
1948,161,1,50.634417,3.0822274
1948,32,1,50.64142,3.067873
1948,147,1,50.614052,3.062195
1948,226,1,50.68645,3.170006
1948,3,1,50.636093,3.050447
1948,305,1,50.67057,3.1443
1948,160,1,50.637709,3.077478
1948,61,1,50.629246,3.075218
1948,202,1,50.677914,3.162353
1948,48,1,50.61843,3.07241
1948,28,2,50.634686,3.048344
1948,63,2,50.629738,3.078224
1948,220,2,50.693768,3.167666
1948,256,2,50.73682,3.1712308
1948,116,2,50.64891,3.078336
1948,17,2,50.644695,3.060867
1948,146,2,50.63268,3.052483
1948,58,2,50.62073,3.07895
1948,60,2,50.621185,3.072363
1948,79,2,50.61295,3.047268
1948,90,2,50.64569,3.0858226
1948,68,2,50.630836,3.047778
1948,210,3,50.676884,3.187817
1948,190,3,50.662941,3.057167
1948,139,3,50.62577,3.144714
1948,171,3,50.62479,3.080467
1948,149,3,50.609592,3.075483
1948,238,3,50.72075,3.152659
