time_index,station_id,nb_velos_dispo,latitude,longitude
13,156,24,50.661602,3.050322
13,94,23,50.63579,3.033977
13,83,22,50.63378,3.02059
13,84,22,50.627243,3.109266
13,221,27,50.69184,3.173925
13,33,22,50.63022,3.035681
13,36,26,50.62624,3.039911
13,5,0,50.63156,3.054738
13,10,0,50.63589,3.062471
13,11,0,50.63734,3.060977
13,20,0,50.640385,3.062053
13,24,0,50.637078,3.070774
13,25,0,50.636399,3.069354
13,82,0,50.63999,3.075204
13,88,0,50.635082,3.058015
13,159,0,50.637726,3.071892
13,1,0,50.641926,3.075992
13,264,0,50.697895,3.206297
13,299,0,50.6151322,3.0863797
13,87,0,50.632393,3.110669
13,89,0,50.619312,3.041299
13,92,0,50.63665,3.091106
13,105,0,50.638126,3.10231
13,106,0,50.638123,3.112704
13,109,0,50.623466,3.030667
13,112,0,50.626846,3.115101
13,118,0,50.641834,3.022364
13,127,0,50.63708,3.127964
13,129,0,50.63608,3.130853
13,134,0,50.6221,3.131706
13,136,0,50.62972,3.133873
13,215,0,50.684593,3.200799
13,235,0,50.696327,3.16713
13,262,0,50.701187,3.215011
13,263,0,50.69626,3.209156
13,59,0,50.622223,3.077127
13,128,0,50.633842,3.127335
13,143,0,50.61776,3.146026
13,145,0,50.61992,3.14528
13,126,0,50.64057,3.115571
13,228,0,50.69535,3.180779
13,231,0,50.689762,3.177179
13,258,0,50.710735,3.159881
13,222,0,50.6941,3.172165
13,261,0,50.732277,3.157656
13,140,0,50.623795,3.144815
13,165,0,50.632367,3.05816
13,7,0,50.633728,3.055307
13,164,0,50.63393,3.061687
13,176,0,50.604525,3.031224
13,233,0,50.702026,3.172654
13,66,0,50.63237,3.066273
13,251,0,50.72551,3.156554
13,269,0,50.676944,3.167306
13,305,0,50.67057,3.1443
13,160,0,50.637709,3.077478
13,195,0,50.631135,3.008346
13,200,0,50.679123,3.155906
13,218,0,50.67392,3.18514
13,12,0,50.637486,3.065902
13,8,1,50.632366,3.062313
13,22,1,50.64144,3.064974
13,27,1,50.635014,3.064802
13,40,1,50.62614,3.051729
13,237,1,50.719803,3.156338
13,240,1,50.71922,3.163396
13,102,1,50.64218,3.109699
13,225,1,50.683987,3.16327
13,30,1,50.64297,3.067375
13,26,1,50.63457,3.068007
13,270,1,50.664211,3.130098
13,203,1,50.68079,3.167454
13,73,1,50.642315,3.087979
13,15,1,50.6449,3.050645
13,61,1,50.629246,3.075218
13,14,2,50.6379088,3.0508558
13,208,2,50.67544,3.181998
13,214,2,50.6795,3.179257
13,32,2,50.64142,3.067873
13,70,2,50.63424,3.073991
13,226,2,50.68645,3.170006
13,149,2,50.609592,3.075483
13,238,2,50.72075,3.152659
13,4,2,50.624695,3.048961
13,302,2,50.60301,3.06925
13,58,2,50.62073,3.07895
13,39,2,50.627674,3.050173
13,6,2,50.630943,3.060299
13,100,2,50.651638,3.081625
13,150,2,50.60548,3.077622
13,2,3,50.632233,3.046134
13,210,3,50.676884,3.187817
13,151,3,50.60642,3.072209
13,190,3,50.662941,3.057167
13,256,3,50.73682,3.1712308
13,152,3,50.610582,3.065103
13,78,3,50.615536,3.048518
13,17,3,50.644695,3.060867
13,260,3,50.721308,3.158104
13,31,3,50.644264,3.062935
13,303,3,50.60709,3.06558
13,313,3,50.666236,3.06415
13,76,3,50.632996,3.089651
13,47,3,50.62824,3.069233
13,162,3,50.628544,3.065015
13,169,4,50.644685,3.057953
13,220,4,50.693768,3.167666
13,257,4,50.71473,3.157369
13,16,4,50.646225,3.053499
13,114,4,50.62651,3.079211
13,191,4,50.638838,3.1317727
13,212,4,50.682053,3.182205
13,21,4,50.64193,3.061774
13,79,4,50.61295,3.047268
13,197,4,50.630834,3.013247
13,199,4,50.612921,3.003634
13,67,4,50.621952,3.04534
13,141,4,50.61682,3.140808
13,202,4,50.677914,3.162353
13,246,5,50.72271,3.163794
13,243,5,50.718204,3.15749
13,232,5,50.699734,3.174347
13,268,5,50.6967934,3.1684926
13,116,5,50.64891,3.078336
13,234,5,50.7004,3.161378
13,44,5,50.629063,3.053711
13,104,5,50.64584,3.112744
13,132,5,50.61606,3.132006
13,275,5,50.665946,3.198101
13,125,5,50.643883,3.118579
13,19,5,50.64031,3.05774
13,29,5,50.647236,3.059376
13,248,6,50.728798,3.158835
13,249,6,50.728798,3.154051
13,253,6,50.72498,3.150884
13,161,6,50.634417,3.0822274
13,204,6,50.684757,3.171974
13,139,6,50.62577,3.144714
13,147,6,50.614052,3.062195
13,171,6,50.62479,3.080467
13,252,6,50.72263,3.150377
13,42,6,50.62789,3.06209
13,56,6,50.620304,3.055471
13,242,6,50.716843,3.167834
13,90,6,50.64569,3.0858226
13,98,6,50.6549,3.068756
13,131,6,50.619602,3.13197
13,63,6,50.629738,3.078224
13,9,7,50.63393,3.044986
13,170,7,50.62195,3.06038
13,244,7,50.727453,3.166828
13,189,7,50.646418,3.106625
13,219,7,50.695477,3.164222
13,241,7,50.722343,3.170847
13,23,7,50.639107,3.065548
13,227,7,50.699436,3.159658
13,108,7,50.645267,3.100516
13,173,7,50.61352,3.03677
13,273,7,50.670865,3.198875
13,274,7,50.667847,3.192974
13,64,7,50.6318,3.071392
13,138,7,50.631298,3.126914
13,142,7,50.6206,3.138207
13,75,7,50.637337,3.084894
13,250,7,50.72389,3.160344
13,130,7,50.62435,3.1283
13,43,7,50.629044,3.058288
13,53,8,50.61856,3.049251
13,81,8,50.63529,3.115088
13,223,8,50.6903353,3.1690075
13,255,8,50.7134,3.165011
13,41,8,50.656487,3.088004
13,216,8,50.681797,3.194122
13,3,8,50.636093,3.050447
13,259,8,50.704693,3.160515
13,124,8,50.6618,3.096235
13,133,8,50.61915,3.126501
13,254,8,50.71732,3.162455
13,308,8,50.611307,2.994654
13,183,8,50.658048,3.063774
13,55,8,50.617847,3.061758
13,137,8,50.615868,3.126089
13,185,9,50.65722,3.056147
13,172,9,50.612635,3.059261
13,186,9,50.672415,3.0924237
13,192,9,50.6312847,3.1350379
13,247,9,50.73418,3.1681724
13,175,9,50.60301,3.038779
13,217,9,50.67869,3.172558
13,45,9,50.62633,3.05659
13,267,9,50.670155,3.154898
13,304,9,50.66351,3.138682
13,312,9,50.672499,3.069317
13,52,9,50.62276,3.063799
13,80,9,50.61989,3.084357
13,51,10,50.62482,3.068689
13,266,10,50.6875,3.1585592
13,188,10,50.637103,3.097538
13,177,10,50.616763,3.023032
13,239,10,50.730289,3.167723
13,18,10,50.6428,3.055932
13,180,10,50.652107,3.029324
13,103,10,50.639828,3.106677
13,154,10,50.65532,3.060615
13,38,10,50.62429,3.045321
13,276,10,50.67756,3.14019
13,307,10,50.61245,3.12268
13,49,10,50.61957,3.068387
13,207,10,50.69138,3.17966
13,201,10,50.673943,3.163443
13,86,11,50.62903,3.10295
13,230,11,50.70076,3.18407
13,37,11,50.62337,3.037553
13,111,11,50.62486,3.116677
13,155,11,50.655098,3.051201
13,213,11,50.68859,3.182028
13,113,11,50.651337,3.08945
13,271,11,50.669867,3.131048
13,306,11,50.63599,3.13566
13,60,11,50.621185,3.072363
13,198,11,50.614392,3.010842
13,101,11,50.6423,3.099291
13,85,12,50.62504,3.1008
13,107,12,50.636105,3.106438
13,182,12,50.649644,3.03812
13,184,12,50.651107,3.0678
13,236,12,50.694714,3.192643
13,166,12,50.63084,3.04483
13,123,12,50.665348,3.075792
13,13,12,50.63671,3.054773
13,310,12,50.676607,3.065308
13,167,12,50.626382,3.047066
13,194,12,50.665968,3.049462
13,309,12,50.610949,2.983948
13,144,12,50.6258,3.14862
13,50,12,50.62224,3.067004
13,224,13,50.691406,3.162704
13,265,13,50.67441,3.14721
13,122,13,50.666033,3.087591
13,97,13,50.65937,3.074057
13,77,13,50.62286,3.0914
13,115,13,50.651497,3.072316
13,120,13,50.63899,3.01154
13,245,13,50.724581,3.166122
13,209,13,50.674995,3.195737
13,68,13,50.630836,3.047778
13,135,13,50.63745,3.123145
13,153,13,50.65547,3.064989
13,96,13,50.64543,3.075116
13,62,13,50.632965,3.076437
13,168,14,50.630855,3.0226
13,121,14,50.644855,3.013238
13,46,14,50.62629,3.061198
13,174,14,50.607664,3.038892
13,110,15,50.62487,3.034234
13,72,15,50.637302,3.024314
13,95,15,50.63041,3.097037
