time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
1232,229,15,3,50.692368,3.185092,0.8333333333333334
1232,149,13,4,50.609592,3.075483,0.7647058823529411
1232,4,9,10,50.624695,3.048961,0.47368421052631576
1232,11,12,20,50.63734,3.060977,0.375
1232,146,12,7,50.63268,3.052483,0.631578947368421
1232,194,11,9,50.665968,3.049462,0.55
1232,18,4,10,50.6428,3.055932,0.2857142857142857
1232,197,10,10,50.630834,3.013247,0.5
1232,72,5,13,50.637302,3.024314,0.2777777777777778
1232,135,11,13,50.63745,3.123145,0.4583333333333333
1232,302,2,18,50.60301,3.06925,0.1
1232,200,6,18,50.679123,3.155906,0.25
1232,147,10,6,50.614052,3.062195,0.625
1232,230,3,7,50.70076,3.18407,0.3
1232,237,4,8,50.719803,3.156338,0.3333333333333333
1232,104,6,12,50.64584,3.112744,0.3333333333333333
1232,113,5,13,50.651337,3.08945,0.2777777777777778
1232,44,0,17,50.629063,3.053711,0.0
1232,90,2,18,50.64569,3.0858226,0.1
1232,263,0,1,50.69626,3.209156,0.0
1232,2,25,6,50.632233,3.046134,0.8064516129032258
1232,86,6,6,50.62903,3.10295,0.5
1232,173,8,12,50.61352,3.03677,0.4
1232,261,0,13,50.732277,3.157656,0.0
1232,242,4,14,50.716843,3.167834,0.2222222222222222
1232,312,5,15,50.672499,3.069317,0.25
1232,88,10,20,50.635082,3.058015,0.3333333333333333
1232,199,15,5,50.612921,3.003634,0.75
1232,226,5,10,50.68645,3.170006,0.3333333333333333
1232,121,5,11,50.644855,3.013238,0.3125
1232,232,3,11,50.699734,3.174347,0.21428571428571427
1232,160,6,14,50.637709,3.077478,0.3
1232,24,21,19,50.637078,3.070774,0.525
1232,91,5,20,50.63417,3.095958,0.2
1232,122,7,9,50.666033,3.087591,0.4375
1232,50,11,14,50.62224,3.067004,0.44
1232,52,8,14,50.62276,3.063799,0.36363636363636365
1232,43,2,30,50.629044,3.058288,0.0625
1232,36,2,34,50.62624,3.039911,0.05555555555555555
1232,174,18,9,50.607664,3.038892,0.6666666666666666
1232,34,10,10,50.63413,3.041209,0.5
1232,71,12,10,50.634045,3.030778,0.5454545454545454
1232,184,1,11,50.651107,3.0678,0.08333333333333333
1232,262,0,1,50.701187,3.215011,0.0
1232,212,10,8,50.682053,3.182205,0.5555555555555556
1232,247,4,11,50.73418,3.1681724,0.26666666666666666
1232,152,0,16,50.610582,3.065103,0.0
1232,69,4,18,50.61893,3.032539,0.18181818181818182
1232,163,0,19,50.625597,3.064497,0.0
1232,108,0,20,50.645267,3.100516,0.0
1232,126,0,3,50.64057,3.115571,0.0
1232,249,3,9,50.728798,3.154051,0.25
1232,275,9,11,50.665946,3.198101,0.45
1232,233,0,16,50.702026,3.172654,0.0
1232,309,7,17,50.610949,2.983948,0.2916666666666667
1232,270,2,18,50.664211,3.130098,0.1
1232,260,1,19,50.721308,3.158104,0.05
1232,179,0,19,50.626063,3.090931,0.0
1232,244,6,6,50.727453,3.166828,0.5
1232,111,4,8,50.62486,3.116677,0.3333333333333333
1232,67,13,11,50.621952,3.04534,0.5416666666666666
1232,225,0,16,50.683987,3.16327,0.0
1232,183,3,17,50.658048,3.063774,0.15
1232,241,0,17,50.722343,3.170847,0.0
1232,218,0,24,50.67392,3.18514,0.0
1232,95,16,2,50.63041,3.097037,0.8888888888888888
1232,155,11,4,50.655098,3.051201,0.7333333333333333
1232,97,2,15,50.65937,3.074057,0.11764705882352941
1232,209,16,4,50.674995,3.195737,0.8
1232,139,6,10,50.62577,3.144714,0.375
1232,30,8,11,50.64297,3.067375,0.42105263157894735
1232,203,1,19,50.68079,3.167454,0.05
1232,161,14,1,50.634417,3.0822274,0.9333333333333333
1232,223,7,5,50.6903353,3.1690075,0.5833333333333334
1232,85,6,6,50.62504,3.1008,0.5
1232,180,7,8,50.652107,3.029324,0.4666666666666667
1232,192,5,9,50.6312847,3.1350379,0.35714285714285715
1232,227,8,10,50.699436,3.159658,0.4444444444444444
1232,231,0,10,50.689762,3.177179,0.0
1232,131,11,14,50.619602,3.13197,0.44
1232,82,17,15,50.63999,3.075204,0.53125
1232,23,2,16,50.639107,3.065548,0.1111111111111111
1232,98,3,21,50.6549,3.068756,0.125
1232,5,10,29,50.63156,3.054738,0.2564102564102564
1232,145,0,1,50.61992,3.14528,0.0
1232,68,22,2,50.630836,3.047778,0.9166666666666666
1232,176,14,2,50.604525,3.031224,0.875
1232,273,11,9,50.670865,3.198875,0.55
1232,42,7,10,50.62789,3.06209,0.4117647058823529
1232,310,10,10,50.676607,3.065308,0.5
1232,103,6,10,50.639828,3.106677,0.375
1232,58,8,12,50.62073,3.07895,0.4
1232,20,7,23,50.640385,3.062053,0.23333333333333334
1232,59,0,1,50.622223,3.077127,0.0
1232,62,21,9,50.632965,3.076437,0.7
1232,157,4,12,50.64989,3.042045,0.25
1232,224,2,12,50.691406,3.162704,0.14285714285714285
1232,308,7,13,50.611307,2.994654,0.35
1232,94,11,13,50.63579,3.033977,0.4583333333333333
1232,238,3,14,50.72075,3.152659,0.17647058823529413
1232,130,10,20,50.62435,3.1283,0.3333333333333333
1232,193,19,1,50.658146,3.042003,0.95
1232,210,9,3,50.676884,3.187817,0.75
1232,19,16,8,50.64031,3.05774,0.6666666666666666
1232,47,17,9,50.62824,3.069233,0.6538461538461539
1232,172,2,9,50.612635,3.059261,0.18181818181818182
1232,251,8,10,50.72551,3.156554,0.4444444444444444
1232,141,8,16,50.61682,3.140808,0.3333333333333333
1232,216,7,9,50.681797,3.194122,0.4375
1232,75,6,15,50.637337,3.084894,0.2857142857142857
1232,198,2,18,50.614392,3.010842,0.1
1232,303,1,19,50.60709,3.06558,0.05
1232,137,8,22,50.615868,3.126089,0.26666666666666666
1232,214,8,4,50.6795,3.179257,0.6666666666666666
1232,208,6,6,50.67544,3.181998,0.5
1232,248,6,6,50.728798,3.158835,0.5
1232,3,9,9,50.636093,3.050447,0.5
1232,196,8,9,50.636003,3.009396,0.47058823529411764
1232,107,2,10,50.636105,3.106438,0.16666666666666666
1232,119,6,12,50.640957,3.018803,0.3333333333333333
1232,132,3,15,50.61606,3.132006,0.16666666666666666
1232,259,0,17,50.704693,3.160515,0.0
1232,54,0,20,50.62338,3.051565,0.0
1232,27,7,29,50.635014,3.064802,0.19444444444444445
1232,299,0,1,50.6151322,3.0863797,0.0
1232,81,6,4,50.63529,3.115088,0.6
1232,168,9,5,50.630855,3.0226,0.6428571428571429
1232,189,11,5,50.646418,3.106625,0.6875
1232,123,6,9,50.665348,3.075792,0.4
1232,33,15,11,50.63022,3.035681,0.5769230769230769
1232,276,7,13,50.67756,3.14019,0.35
1232,41,2,14,50.656487,3.088004,0.125
1232,38,3,15,50.62429,3.045321,0.16666666666666666
1232,114,0,16,50.62651,3.079211,0.0
1232,201,13,17,50.673943,3.163443,0.43333333333333335
1232,45,0,18,50.62633,3.05659,0.0
1232,84,6,18,50.627243,3.109266,0.25
1232,138,18,2,50.631298,3.126914,0.9
1232,7,12,4,50.633728,3.055307,0.75
1232,37,8,4,50.62337,3.037553,0.6666666666666666
1232,26,15,7,50.63457,3.068007,0.6818181818181818
1232,142,7,13,50.6206,3.138207,0.35
1232,99,10,14,50.654602,3.073805,0.4166666666666667
1232,56,3,15,50.620304,3.055471,0.16666666666666666
1232,25,8,24,50.636399,3.069354,0.25
