time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
0457,172,10,1,50.612635,3.059261,0.9090909090909091
0457,227,9,9,50.699436,3.159658,0.5
0457,79,7,13,50.61295,3.047268,0.35
0457,155,15,0,50.655098,3.051201,1.0
0457,113,15,3,50.651337,3.08945,0.8333333333333334
0457,248,6,6,50.728798,3.158835,0.5
0457,266,3,9,50.6875,3.1585592,0.25
0457,144,12,12,50.6258,3.14862,0.5
0457,160,2,18,50.637709,3.077478,0.1
0457,28,9,30,50.634686,3.048344,0.23076923076923078
0457,156,24,0,50.661602,3.050322,1.0
0457,65,17,1,50.621128,3.035483,0.9444444444444444
0457,107,8,4,50.636105,3.106438,0.6666666666666666
0457,267,15,5,50.670155,3.154898,0.75
0457,91,20,5,50.63417,3.095958,0.8
0457,103,7,9,50.639828,3.106677,0.4375
0457,168,5,9,50.630855,3.0226,0.35714285714285715
0457,120,7,11,50.63899,3.01154,0.3888888888888889
0457,257,4,12,50.71473,3.157369,0.25
0457,222,0,12,50.6941,3.172165,0.0
0457,310,4,16,50.676607,3.065308,0.2
0457,108,4,16,50.645267,3.100516,0.2
0457,125,1,19,50.643883,3.118579,0.05
0457,9,0,36,50.63393,3.044986,0.0
0457,122,8,8,50.666033,3.087591,0.5
0457,301,8,12,50.65281,3.02604,0.4
0457,252,1,15,50.72263,3.150377,0.0625
0457,207,14,16,50.69138,3.17966,0.4666666666666667
0457,163,0,19,50.625597,3.064497,0.0
0457,57,16,2,50.62418,3.058902,0.8888888888888888
0457,98,13,11,50.6549,3.068756,0.5416666666666666
0457,23,2,16,50.639107,3.065548,0.1111111111111111
0457,164,0,16,50.63393,3.061687,0.0
0457,205,0,18,50.69106,3.1902585,0.0
0457,50,6,19,50.62224,3.067004,0.24
0457,96,5,22,50.64543,3.075116,0.18518518518518517
0457,14,15,25,50.6379088,3.0508558,0.375
0457,196,15,2,50.636003,3.009396,0.8823529411764706
0457,195,12,8,50.631135,3.008346,0.6
0457,166,5,11,50.63084,3.04483,0.3125
0457,132,0,19,50.61606,3.132006,0.0
0457,61,0,24,50.629246,3.075218,0.0
0457,59,0,1,50.622223,3.077127,0.0
0457,35,25,2,50.62899,3.043307,0.9259259259259259
0457,17,15,4,50.644695,3.060867,0.7894736842105263
0457,37,8,4,50.62337,3.037553,0.6666666666666666
0457,104,7,11,50.64584,3.112744,0.3888888888888889
0457,7,4,12,50.633728,3.055307,0.25
0457,75,4,17,50.637337,3.084894,0.19047619047619047
0457,88,0,30,50.635082,3.058015,0.0
0457,211,16,2,50.674164,3.174519,0.8888888888888888
0457,81,7,3,50.63529,3.115088,0.7
0457,86,8,4,50.62903,3.10295,0.6666666666666666
0457,177,9,5,50.616763,3.023032,0.6428571428571429
0457,102,9,7,50.64218,3.109699,0.5625
0457,73,13,11,50.642315,3.087979,0.5416666666666666
0457,15,6,18,50.6449,3.050645,0.25
0457,83,4,20,50.63378,3.02059,0.16666666666666666
0457,116,8,7,50.64891,3.078336,0.5333333333333333
0457,240,5,7,50.71922,3.163396,0.4166666666666667
0457,313,12,8,50.666236,3.06415,0.6
0457,165,2,12,50.632367,3.05816,0.14285714285714285
0457,259,0,17,50.704693,3.160515,0.0
0457,21,0,20,50.64193,3.061774,0.0
0457,82,5,27,50.63999,3.075204,0.15625
0457,145,0,1,50.61992,3.14528,0.0
0457,67,22,2,50.621952,3.04534,0.9166666666666666
0457,111,8,4,50.62486,3.116677,0.6666666666666666
0457,304,15,5,50.66351,3.138682,0.75
