time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
0731,161,11,4,50.634417,3.0822274,0.7333333333333333
0731,149,11,6,50.609592,3.075483,0.6470588235294118
0731,208,5,7,50.67544,3.181998,0.4166666666666667
0731,154,7,9,50.65532,3.060615,0.4375
0731,97,7,10,50.65937,3.074057,0.4117647058823529
0731,34,8,12,50.63413,3.041209,0.4
0731,221,17,12,50.69184,3.173925,0.5862068965517241
0731,261,0,13,50.732277,3.157656,0.0
0731,274,7,13,50.667847,3.192974,0.35
0731,233,0,16,50.702026,3.172654,0.0
0731,56,1,17,50.620304,3.055471,0.05555555555555555
0731,57,1,17,50.62418,3.058902,0.05555555555555555
0731,46,0,18,50.62629,3.061198,0.0
0731,271,18,2,50.669867,3.131048,0.9
0731,107,7,5,50.636105,3.106438,0.5833333333333334
0731,103,7,9,50.639828,3.106677,0.4375
0731,6,13,11,50.630943,3.060299,0.5416666666666666
0731,310,9,11,50.676607,3.065308,0.45
0731,131,12,13,50.619602,3.13197,0.48
0731,117,0,21,50.641617,3.031375,0.0
0731,156,22,2,50.661602,3.050322,0.9166666666666666
0731,176,14,2,50.604525,3.031224,0.875
0731,239,9,5,50.730289,3.167723,0.6428571428571429
0731,251,8,10,50.72551,3.156554,0.4444444444444444
0731,42,2,15,50.62789,3.06209,0.11764705882352941
0731,270,1,19,50.664211,3.130098,0.05
0731,248,6,6,50.728798,3.158835,0.5
0731,119,10,8,50.640957,3.018803,0.5555555555555556
0731,243,3,9,50.718204,3.15749,0.25
0731,124,5,13,50.6618,3.096235,0.2777777777777778
0731,23,3,15,50.639107,3.065548,0.16666666666666666
0731,309,9,15,50.610949,2.983948,0.375
0731,260,2,18,50.721308,3.158104,0.1
0731,113,0,18,50.651337,3.08945,0.0
0731,143,0,1,50.61776,3.146026,0.0
0731,70,9,7,50.63424,3.073991,0.5625
0731,175,8,8,50.60301,3.038779,0.5
0731,121,7,9,50.644855,3.013238,0.4375
0731,17,5,14,50.644695,3.060867,0.2631578947368421
0731,45,1,17,50.62633,3.05659,0.05555555555555555
0731,241,0,17,50.722343,3.170847,0.0
0731,125,0,20,50.643883,3.118579,0.0
0731,166,15,1,50.63084,3.04483,0.9375
0731,164,11,5,50.63393,3.061687,0.6875
0731,85,5,7,50.62504,3.1008,0.4166666666666667
0731,213,9,9,50.68859,3.182028,0.5
0731,246,2,10,50.72271,3.163794,0.16666666666666666
0731,110,0,16,50.62487,3.034234,0.0
0731,54,0,20,50.62338,3.051565,0.0
0731,171,13,3,50.62479,3.080467,0.8125
0731,19,19,5,50.64031,3.05774,0.7916666666666666
0731,151,3,10,50.60642,3.072209,0.23076923076923078
0731,191,4,14,50.638838,3.1317727,0.2222222222222222
0731,205,0,18,50.69106,3.1902585,0.0
0731,51,0,39,50.62482,3.068689,0.0
0731,263,0,1,50.69626,3.209156,0.0
0731,28,38,2,50.634686,3.048344,0.95
0731,76,20,4,50.632996,3.089651,0.8333333333333334
0731,253,5,7,50.72498,3.150884,0.4166666666666667
0731,190,6,8,50.662941,3.057167,0.42857142857142855
0731,77,8,10,50.62286,3.0914,0.4444444444444444
0731,258,0,11,50.710735,3.159881,0.0
0731,252,3,13,50.72263,3.150377,0.1875
0731,90,0,20,50.64569,3.0858226,0.0
0731,59,0,1,50.622223,3.077127,0.0
0731,84,19,5,50.627243,3.109266,0.7916666666666666
0731,48,17,9,50.61843,3.07241,0.6538461538461539
0731,123,7,10,50.665348,3.075792,0.4117647058823529
0731,120,7,11,50.63899,3.01154,0.3888888888888889
0731,142,8,12,50.6206,3.138207,0.4
0731,259,0,17,50.704693,3.160515,0.0
0731,25,14,18,50.636399,3.069354,0.4375
0731,27,2,34,50.635014,3.064802,0.05555555555555555
0731,49,24,0,50.61957,3.068387,1.0
0731,201,25,5,50.673943,3.163443,0.8333333333333334
0731,255,7,5,50.7134,3.165011,0.5833333333333334
0731,122,8,8,50.666033,3.087591,0.5
0731,172,2,9,50.612635,3.059261,0.18181818181818182
0731,194,11,9,50.665968,3.049462,0.55
0731,262,0,1,50.701187,3.215011,0.0
0731,220,11,3,50.693768,3.167666,0.7857142857142857
0731,196,8,9,50.636003,3.009396,0.47058823529411764
0731,212,9,9,50.682053,3.182205,0.5
0731,71,11,11,50.634045,3.030778,0.5
0731,64,8,12,50.6318,3.071392,0.4
0731,219,2,15,50.695477,3.164222,0.11764705882352941
0731,203,3,17,50.68079,3.167454,0.15
0731,146,16,3,50.63268,3.052483,0.8421052631578947
0731,86,7,5,50.62903,3.10295,0.5833333333333334
0731,13,9,9,50.63671,3.054773,0.5
0731,184,0,12,50.651107,3.0678,0.0
0731,16,1,15,50.646225,3.053499,0.0625
0731,80,15,15,50.61989,3.084357,0.5
0731,307,2,18,50.61245,3.12268,0.1
0731,218,0,24,50.67392,3.18514,0.0
0731,157,11,5,50.64989,3.042045,0.6875
0731,93,8,10,50.628918,3.088147,0.4444444444444444
0731,311,7,13,50.671409,3.055056,0.35
0731,312,7,13,50.672499,3.069317,0.35
0731,174,14,13,50.607664,3.038892,0.5185185185185185
0731,254,5,13,50.71732,3.162455,0.2777777777777778
0731,61,7,17,50.629246,3.075218,0.2916666666666667
0731,40,0,28,50.62614,3.051729,0.0
0731,128,0,1,50.633842,3.127335,0.0
0731,32,10,6,50.64142,3.067873,0.625
0731,102,8,8,50.64218,3.109699,0.5
0731,276,8,12,50.67756,3.14019,0.4
0731,222,0,12,50.6941,3.172165,0.0
0731,10,17,15,50.63589,3.062471,0.53125
0731,115,0,18,50.651497,3.072316,0.0
0731,98,1,23,50.6549,3.068756,0.041666666666666664
0731,153,0,24,50.65547,3.064989,0.0
0731,173,16,4,50.61352,3.03677,0.8
0731,266,3,9,50.6875,3.1585592,0.25
0731,232,3,11,50.699734,3.174347,0.21428571428571427
0731,150,9,15,50.60548,3.077622,0.375
0731,223,7,5,50.6903353,3.1690075,0.5833333333333334
0731,234,8,8,50.7004,3.161378,0.5
0731,139,7,9,50.62577,3.144714,0.4375
0731,216,6,10,50.681797,3.194122,0.375
0731,82,10,22,50.63999,3.075204,0.3125
0731,5,0,40,50.63156,3.054738,0.0
0731,7,11,5,50.633728,3.055307,0.6875
0731,211,13,5,50.674164,3.174519,0.7222222222222222
0731,83,18,6,50.63378,3.02059,0.75
0731,244,6,6,50.727453,3.166828,0.5
0731,21,8,12,50.64193,3.061774,0.4
0731,72,5,13,50.637302,3.024314,0.2777777777777778
0731,198,4,16,50.614392,3.010842,0.2
0731,130,10,20,50.62435,3.1283,0.3333333333333333
0731,167,0,20,50.626382,3.047066,0.0
0731,202,0,24,50.677914,3.162353,0.0
0731,237,4,8,50.719803,3.156338,0.3333333333333333
0731,306,7,13,50.63599,3.13566,0.35
0731,144,9,15,50.6258,3.14862,0.375
0731,67,1,23,50.621952,3.04534,0.041666666666666664
0731,9,34,2,50.63393,3.044986,0.9444444444444444
0731,229,15,3,50.692368,3.185092,0.8333333333333334
0731,236,6,5,50.694714,3.192643,0.5454545454545454
0731,230,3,7,50.70076,3.18407,0.3
0731,245,11,7,50.724581,3.166122,0.6111111111111112
0731,26,11,11,50.63457,3.068007,0.5
0731,165,3,11,50.632367,3.05816,0.21428571428571427
0731,104,6,12,50.64584,3.112744,0.3333333333333333
0731,62,15,15,50.632965,3.076437,0.5
0731,3,18,0,50.636093,3.050447,1.0
0731,193,17,3,50.658146,3.042003,0.85
0731,180,8,7,50.652107,3.029324,0.5333333333333333
0731,249,4,8,50.728798,3.154051,0.3333333333333333
0731,14,29,11,50.6379088,3.0508558,0.725
0731,41,5,11,50.656487,3.088004,0.3125
0731,224,2,12,50.691406,3.162704,0.14285714285714285
0731,265,1,15,50.67441,3.14721,0.0625
0731,69,4,18,50.61893,3.032539,0.18181818181818182
0731,179,0,20,50.626063,3.090931,0.0
0731,186,8,4,50.672415,3.0924237,0.6666666666666666
0731,199,15,5,50.612921,3.003634,0.75
0731,197,11,9,50.630834,3.013247,0.55
0731,227,8,10,50.699436,3.159658,0.4444444444444444
0731,207,15,15,50.69138,3.17966,0.5
0731,303,3,17,50.60709,3.06558,0.15
0731,101,7,17,50.6423,3.099291,0.2916666666666667
0731,91,6,19,50.63417,3.095958,0.24
0731,183,1,19,50.658048,3.063774,0.05
0731,242,5,13,50.716843,3.167834,0.2777777777777778
0731,22,14,15,50.64144,3.064974,0.4827586206896552
0731,267,12,8,50.670155,3.154898,0.6
0731,275,9,11,50.665946,3.198101,0.45
0731,257,3,13,50.71473,3.157369,0.1875
0731,140,0,14,50.623795,3.144815,0.0
0731,47,9,17,50.62824,3.069233,0.34615384615384615
0731,8,6,34,50.632366,3.062313,0.15
0731,152,4,12,50.610582,3.065103,0.25
0731,148,6,14,50.612194,3.074952,0.3
0731,116,0,15,50.64891,3.078336,0.0
0731,44,0,18,50.629063,3.053711,0.0
0731,204,11,4,50.684757,3.171974,0.7333333333333333
0731,189,11,5,50.646418,3.106625,0.6875
0731,228,0,7,50.69535,3.180779,0.0
0731,250,15,7,50.72389,3.160344,0.6818181818181818
0731,37,1,11,50.62337,3.037553,0.08333333333333333
0731,66,6,12,50.63237,3.066273,0.3333333333333333
0731,272,4,14,50.671517,3.183123,0.2222222222222222
0731,75,3,18,50.637337,3.084894,0.14285714285714285
0731,29,0,28,50.647236,3.059376,0.0
0731,214,8,4,50.6795,3.179257,0.6666666666666666
0731,192,5,9,50.6312847,3.1350379,0.35714285714285715
0731,256,6,10,50.73682,3.1712308,0.375
0731,135,13,11,50.63745,3.123145,0.5416666666666666
0731,160,9,11,50.637709,3.077478,0.45
0731,206,11,12,50.688015,3.174815,0.4782608695652174
0731,269,7,13,50.676944,3.167306,0.35
0731,4,5,14,50.624695,3.048961,0.2631578947368421
0731,137,1,29,50.615868,3.126089,0.03333333333333333
0731,2,31,0,50.632233,3.046134,1.0
0731,145,0,1,50.61992,3.14528,0.0
0731,147,12,4,50.614052,3.062195,0.75
0731,63,16,16,50.629738,3.078224,0.5
0731,114,0,16,50.62651,3.079211,0.0
0731,301,2,18,50.65281,3.02604,0.1
0731,302,2,18,50.60301,3.06925,0.1
0731,195,9,11,50.631135,3.008346,0.45
0731,88,18,12,50.635082,3.058015,0.6
0731,31,3,17,50.644264,3.062935,0.15
0731,73,4,20,50.642315,3.087979,0.16666666666666666
0731,100,1,23,50.651638,3.081625,0.041666666666666664
0731,50,1,24,50.62224,3.067004,0.04
0731,162,20,6,50.628544,3.065015,0.7692307692307693
0731,308,8,12,50.611307,2.994654,0.4
0731,18,0,14,50.6428,3.055932,0.0
0731,79,5,15,50.61295,3.047268,0.25
0731,20,3,27,50.640385,3.062053,0.1
0731,36,1,35,50.62624,3.039911,0.027777777777777776
0731,60,9,11,50.621185,3.072363,0.45
0731,170,1,11,50.62195,3.06038,0.08333333333333333
0731,35,14,14,50.62899,3.043307,0.5
0731,11,16,16,50.63734,3.060977,0.5
0731,132,3,16,50.61606,3.132006,0.15789473684210525
0731,141,8,16,50.61682,3.140808,0.3333333333333333
0731,39,1,22,50.627674,3.050173,0.043478260869565216
0731,68,24,0,50.630836,3.047778,1.0
0731,138,16,4,50.631298,3.126914,0.8
0731,231,0,10,50.689762,3.177179,0.0
0731,55,11,12,50.617847,3.061758,0.4782608695652174
0731,58,7,13,50.62073,3.07895,0.35
0731,300,6,14,50.64466,3.03027,0.3
0731,304,16,4,50.66351,3.138682,0.8
0731,65,0,18,50.621128,3.035483,0.0
0731,200,0,24,50.679123,3.155906,0.0
0731,96,2,25,50.64543,3.075116,0.07407407407407407
0731,210,9,3,50.676884,3.187817,0.75
0731,168,10,4,50.630855,3.0226,0.7142857142857143
0731,81,4,6,50.63529,3.115088,0.4
0731,273,11,9,50.670865,3.198875,0.55
0731,226,6,9,50.68645,3.170006,0.4
0731,99,14,10,50.654602,3.073805,0.5833333333333334
0731,313,9,11,50.666236,3.06415,0.45
0731,155,4,11,50.655098,3.051201,0.26666666666666666
0731,217,0,16,50.67869,3.172558,0.0
0731,30,2,17,50.64297,3.067375,0.10526315789473684
0731,52,0,22,50.62276,3.063799,0.0
0731,43,0,32,50.629044,3.058288,0.0
0731,126,0,3,50.64057,3.115571,0.0
0731,247,4,11,50.73418,3.1681724,0.26666666666666666
0731,95,16,2,50.63041,3.097037,0.8888888888888888
0731,209,16,4,50.674995,3.195737,0.8
0731,24,33,7,50.637078,3.070774,0.825
0731,240,5,7,50.71922,3.163396,0.4166666666666667
0731,169,1,11,50.644685,3.057953,0.08333333333333333
0731,33,12,14,50.63022,3.035681,0.46153846153846156
0731,94,10,14,50.63579,3.033977,0.4166666666666667
0731,225,1,15,50.683987,3.16327,0.0625
0731,268,0,16,50.6967934,3.1684926,0.0
0731,78,1,17,50.615536,3.048518,0.05555555555555555
0731,158,0,20,50.644943,3.036932,0.0
0731,15,0,24,50.6449,3.050645,0.0
0731,299,0,1,50.6151322,3.0863797,0.0
0731,305,15,5,50.67057,3.1443,0.75
0731,159,28,12,50.637726,3.071892,0.7
0731,53,11,27,50.61856,3.049251,0.2894736842105263
0731,12,22,3,50.637486,3.065902,0.88
0731,111,6,6,50.62486,3.116677,0.5
0731,185,5,7,50.65722,3.056147,0.4166666666666667
0731,178,9,9,50.615246,3.018435,0.5
0731,133,7,11,50.61915,3.126501,0.3888888888888889
0731,182,1,11,50.649644,3.03812,0.08333333333333333
0731,238,1,16,50.72075,3.152659,0.058823529411764705
0731,163,0,19,50.625597,3.064497,0.0
0731,74,0,20,50.641238,3.083175,0.0
0731,108,0,20,50.645267,3.100516,0.0
0731,177,7,7,50.616763,3.023032,0.5
0731,188,3,9,50.637103,3.097538,0.25
0731,38,0,18,50.62429,3.045321,0.0
